d11	maxOrder11	d1	mxOrd1	d2	mxORd2	d3	maxOrd3
2	0.0197794000000000	2	0.0195000000000000	2	0.038682	3	2.6737
3	0.0251483000000000	3	0.0205000000000000	3	0.10886	4	69.8605
4	0.0107194000000000	4	0.00960000000000000	4	0.54458	5	3579.4775
5	0.00477810000000000	5	0.00510000000000000	5	2.2029		
6	0.0142638000000000	6	0.0135000000000000	6	6.3872		
7	0.00998090000000000	7	0.00950000000000000	7	16.9169		
8	0.0101846000000000	8	0.00800000000000000	8	40.2869		
9	0.0161873000000000	9	0.0122000000000000	9	86.2708		
10	0.0210623000000000	10	0.0180000000000000	10	175.614		
11	0.0249659000000000	11	0.0246000000000000	11	449.9639		
12	0.0293936000000000	12	0.0312000000000000	12	1491.1291		
13	0.0406836000000000	13	0.0425000000000000	13	3580.1538		
14	0.0507523000000000	14	0.0534000000000000				
15	0.0693409000000000	15	0.0790000000000000				
16	0.0961076000000000	16	0.0998000000000000				
17	0.0936543000000000	17	0.0995000000000000				
18	0.130385900000000	18	0.114300000000000				
19	0.174083600000000	19	0.176500000000000				
20	0.214857500000000	20	0.200400000000000				
21	0.223370100000000	21	0.201000000000000				
22	0.221037500000000	22	0.204000000000000				
23	0.268390300000000	23	0.228200000000000				
24	0.310217700000000	24	0.259800000000000				
25	0.349504000000000	25	0.308800000000000				
26	0.632354600000000						
27	0.862082900000000						
28	1.00659320000000						
29	1.12234650000000						
30	1.29333860000000						
31	1.51419150000000						
32	1.78103620000000						
33	2.00333270000000						
34	2.25355520000000						
35	2.54818650000000						
36	2.78122120000000						
37	3.79049120000000						
38	4.37330740000000						
39	4.73888290000000						
40	5.33130320000000						
