2	21	121	3	1331
3	31	331	4	4641
4	41	641	5	11051
5	51	1051	6	21561
6	61	1561	7	37171
7	71	2171	8	58881
8	81	2881	9	87691
9	91	3691	10	124601
10	101	4601	11	170611
11	111	5611	12	226721
12	121	6721	13	293931
13	131	7931	14	373241
14	141	9241	15	465651
15	151	10651	16	572161
16	161	12161	17	693771
17	171	13771	18	831481
18	181	15481	19	986291
19	191	17291	20	1159201
20	201	19201	21	1351211
21	211	21211	22	1563321
22	221	23321	23	1796531
23	231	25531	24	2051841
24	241	27841	25	2330251
25	251	30251		
